1904,35212
1910,35824
1901,36602
3104,99780
3126,99501
3106,99827
3129,99692
3111,99709
3101,99801
3102,99901
3127,99501
3128,99762
3115,99835
3103,99840
3107,99501
3105,99929
2601,85607
2602,85341
2603,85620
2604,85621
2605,85034
2682,85212
2608,85349
2606,85633
2681,85260
2609,85756
2003,72202
2084,72756
2502,92283
2507,92231
2503,92231
2802,95501
2803,93727
2720,90045
2704,90802
2721,91761
2506,92154
2781,92262
2713,93033
2835,95837
2782,92408
2501,92101
2801,94111
2809,94111
2834,95110
2504,92173
2505,91980
2783,92394
3384,80012
3307,80249
3385,81637
3383,80021
3213,96951
3211,96950
3212,96950
0410,06604
0411,06096
0412,06511
0413,06320
1103,19720
1803,32226
1801,33634
1816,32920
1884,32114
1805,32034
1822,33913
5202,33040
1881,33811
1887,34788
1885,32901
5206,33122
5201,33132
1880,34104
1888,32803
1808,32827
1809,32773
1818,32407
1819,32504
5203,33316
1821,34221
1883,34243
1889,32095
1814,33762
5204,33404
1704,30354
1701,31520
1703,31405
3207,96913
3205,96819
3202,96720
3201,96850
3203,96732
3206,96740
3204,96766
2907,83705
3302,83826
3308,83853
3987,61874
3901,60018
3908,61265
4581,62258
3902,61607
3909,61109
3981,60087
3984,60185
3983,60090
3901,60018
3908,61265
4581,62258
3902,61607
3909,61109
3986,60607
3987,60607
3981,60087
3984,60185
4116,47708
4183,46809
3905,46406
4110,46241
3986,46628
3513,50321
4504,67209
4102,41018
4184,40510
4115,40209
2004,70809
2010,70052
2017,70601
2001,70363
2002,70130
2018,71109
0102,04401
0112,04401
0111,04106
0132,04401
0127,04735
0115,04619
0103,04631
0107,04742
0110,04743
0106,04730
0104,04945
0122,04619
0118,04750
0109,04756
0101,04106
0121,04401
0108,04785
0105,04491
1303,21202
0401,02222
0407,02740
0404,01915
0416,01915
0417,02128
0405,02740
0406,02740
0408,01915
0402,01144
0403,01608
3805,49037
3883,48906
3807,48242
3801,48216
3806,49512
3802,48060
3804,48623
3803,49783
3424,56623
3510,55802
3613,55605
3604,56649
3430,56735
3501,55437
3425,56751
3581,55902
3426,56751
3423,56763
1902,39503
2015,39232
4501,64153
4506,63005
4505,65803
4503,63134
3310,59484
3386,59714
3305,59702
3322,59427
3304,59404
3348,59601
3324,59901
3319,59537
3317,59250
3316,59411
3301,59256
3318,59917
3309,59263
3306,59542
3321,59545
3323,59501
3325,59501
3512,68110
2722,89119
2833,89502
0182,03103
0131,03801
4681,07960
4601,07201
4602,08861
2407,87106
2406,88029
2408,88008
0983,14850
1002,12207
0708,13607
0981,13790
0901,14210
0706,13618
0712,12919
4701,11430
0704,13683
0701,13669
0903,14624
0906,13212
0715,12926
1512,28217
1502,27409
1511,28557
1503,27560
1501,28401
3410,58833
3413,58711
3421,58783
3422,58329
3411,58102
3417,58844
3427,58203
3408,58239
3415,58339
3416,58255
3434,58703
3404,58265
3420,58765
3406,58737
3401,58271
3403,58772
3405,58369
3409,58372
3414,58782
3407,58282
3419,58793
3433,58801
4122,44004
4101,44130
4103,43125
4104,45377
4105,43452
5504,73108
5505,74115
2901,97103
2903,97459
2983,97124
2902,97365
2904,97220
4106,16505
1109,17055
1101,19106
1104,15231
4901,00604
4904,00740
4913,00937
4907,00680
4908,00716
4909,00968
0501,02886
0502,02886
1601,29401
1604,29170
1602,29442
1603,29650
1681,29577
3502,57104
2008,37421
2016,37902
2006,38118
2007,37217
2027,37617
5584,75001
5583,76177
5502,79111
5506,78719
2301,78521
5382,77303
5312,78406
5501,75063
2302,78840
2303,78852
2402,79905
5311,77541
2383,78550
2305,78577
5309,77032
5301,77087
2304,78040
5503,79403
5585,75069
5582,79711
2101,77642
5313,78406
2403,79845
2309,78579
2307,78582
2310,78584
2102,77642
5507,78216
2381,78542
5381,77478
2404,79853
3303,84112
0206,05902
0207,05403
0209,05830
0212,05460
0211,05907
0203,05476
0201,05478
1410,22630
1412,24084
1401,23510
5401,20598
1404,23250
5101,00802
5102,00830
5104,00850
3010,98221
3005,98250
3004,98230
3014,98250
2905,98632
3019,98844
3007,98362
3001,98158
3022,99224
3009,98295
3002,98424
1409,25311
3781,54914
3703,54313
3701,53207
3708,53404
3332,82604
1903,39568
2812,94804
3029,98158
5306,77590
5310,77550
1003,07114
1001,11231
2709,90802
2820,94553
2811,94607
4913,00979
1012,11430
5210,33315
2104,77704
5401,20598 
0417,02128
0401,02222
1102,19134 
1108,19153 
1004,08861 
1305,21240 
1104,15231 
0901,14210
0212,05460
1119,18109 
5205,34982 
0182,03103
0502,02886
3006,98201 
4901,00604
2815,94525
2830,94510

